temp_max_C,precip_mm,day_of_week,month,wind_speed_max_m_s,Complaint_Count,year,relative_humidity_2m_mean,weather_label,Complaint_Count_diff1
41.0,0.1,4,6,16.6,10,2022,47,1,
41.0,0.2,5,6,25.3,12,2022,42,1,2.0
39.8,0.0,6,6,16.7,5,2022,45,3,-7.0
40.2,0.0,0,6,13.3,15,2022,45,3,10.0
39.2,8.6,1,6,19.0,16,2022,52,0,1.0
35.6,6.0,2,6,17.4,15,2022,66,2,-1.0
36.8,0.6,3,6,15.3,11,2022,68,1,-4.0
34.3,23.2,4,6,15.2,13,2022,78,0,2.0
31.5,11.2,5,6,15.0,26,2022,84,0,13.0
32.7,14.8,6,6,20.6,19,2022,88,0,-7.0
32.0,11.7,0,6,16.2,20,2022,87,0,1.0
32.0,16.0,1,6,10.4,14,2022,82,0,-6.0
32.5,9.9,2,6,12.9,11,2022,80,0,-3.0
31.7,9.0,3,6,11.9,7,2022,83,0,-4.0
30.1,19.6,4,6,18.9,12,2022,84,0,5.0
30.9,14.5,5,6,10.7,8,2022,86,0,-4.0
32.2,4.1,6,6,13.1,11,2022,80,2,3.0
33.0,0.5,0,6,12.0,9,2022,77,1,-2.0
33.5,1.7,1,6,12.1,5,2022,75,1,-4.0
33.7,3.9,2,6,13.8,5,2022,79,2,0.0
31.2,9.1,3,6,10.5,5,2022,84,0,0.0
31.0,14.0,4,7,10.3,7,2022,86,0,2.0
32.1,16.0,5,7,9.9,7,2022,85,0,0.0
29.6,25.7,6,7,10.7,6,2022,91,0,-1.0
30.3,20.9,0,7,9.4,9,2022,89,0,3.0
30.2,21.9,1,7,7.4,9,2022,88,0,0.0
31.8,28.1,2,7,10.7,11,2022,87,0,2.0
32.3,9.1,3,7,14.0,5,2022,85,0,-6.0
32.3,12.2,4,7,16.2,3,2022,85,0,-2.0
31.0,7.9,5,7,18.9,9,2022,83,0,6.0
32.2,3.2,6,7,13.0,16,2022,84,2,7.0
31.7,5.7,0,7,12.2,6,2022,84,2,-10.0
30.4,16.6,1,7,15.6,11,2022,86,0,5.0
31.2,29.5,2,7,14.9,11,2022,87,0,0.0
28.4,54.5,3,7,14.4,12,2022,91,4,1.0
30.2,21.3,4,7,10.1,14,2022,89,0,2.0
31.2,19.6,5,7,11.9,12,2022,88,0,-2.0
31.3,26.7,6,7,25.7,13,2022,85,0,1.0
31.4,5.0,0,7,13.0,12,2022,85,2,-1.0
31.1,1.4,1,7,18.8,8,2022,79,1,-4.0
30.7,0.2,2,7,15.3,8,2022,79,1,0.0
31.0,6.7,3,7,10.7,9,2022,85,2,1.0
30.3,21.1,4,7,7.2,10,2022,91,0,1.0
30.3,7.5,5,7,9.5,12,2022,88,2,2.0
29.3,22.6,6,7,9.2,12,2022,90,0,0.0
29.7,32.5,0,7,10.5,11,2022,88,0,-1.0
31.2,19.5,1,7,11.5,7,2022,84,0,-4.0
32.0,0.6,2,7,7.0,3,2022,82,1,-4.0
31.0,8.4,3,7,11.0,12,2022,87,0,9.0
