temp_max_C,temp_min_C,precip_mm,day_of_week,month,wind_speed_max_m_s,weather_code,Complaint_Count,year,relative_humidity_2m_mean,weather_label
41.0,30.3,0.1,4,6,16.6,51,10,2022,47,1
41.0,30.8,0.2,5,6,25.3,51,12,2022,42,1
39.8,29.5,0.0,6,6,16.7,3,5,2022,45,3
40.2,29.5,0.0,0,6,13.3,3,15,2022,45,3
39.2,30.0,8.6,1,6,19.0,63,16,2022,52,0
35.6,26.1,6.0,2,6,17.4,63,15,2022,66,2
36.8,26.5,0.6,3,6,15.3,53,11,2022,68,1
34.3,25.5,23.2,4,6,15.2,63,13,2022,78,0
31.5,25.4,11.2,5,6,15.0,63,26,2022,84,0
32.7,25.2,14.8,6,6,20.6,63,19,2022,88,0
32.0,25.2,11.7,0,6,16.2,63,20,2022,87,0
32.0,24.3,16.0,1,6,10.4,65,14,2022,82,0
32.5,24.9,9.9,2,6,12.9,65,11,2022,80,0
31.7,25.8,9.0,3,6,11.9,63,7,2022,83,0
30.1,24.2,19.6,4,6,18.9,63,12,2022,84,0
30.9,24.1,14.5,5,6,10.7,63,8,2022,86,0
32.2,24.0,4.1,6,6,13.1,61,11,2022,80,2
33.0,25.6,0.5,0,6,12.0,51,9,2022,77,1
33.5,25.7,1.7,1,6,12.1,53,5,2022,75,1
33.7,25.9,3.9,2,6,13.8,61,5,2022,79,2
31.2,25.3,9.1,3,6,10.5,63,5,2022,84,0
31.0,24.4,14.0,4,7,10.3,63,7,2022,86,0
32.1,24.8,16.0,5,7,9.9,63,7,2022,85,0
29.6,24.4,25.7,6,7,10.7,65,6,2022,91,0
30.3,24.2,20.9,0,7,9.4,63,9,2022,89,0
30.2,24.9,21.9,1,7,7.4,63,9,2022,88,0
31.8,24.6,28.1,2,7,10.7,65,11,2022,87,0
32.3,24.9,9.1,3,7,14.0,63,5,2022,85,0
32.3,24.8,12.2,4,7,16.2,63,3,2022,85,0
31.0,25.0,7.9,5,7,18.9,63,9,2022,83,0
32.2,25.0,3.2,6,7,13.0,63,16,2022,84,2
31.7,25.1,5.7,0,7,12.2,63,6,2022,84,2
30.4,25.0,16.6,1,7,15.6,63,11,2022,86,0
31.2,24.9,29.5,2,7,14.9,63,11,2022,87,0
28.4,24.4,54.5,3,7,14.4,65,12,2022,91,4
30.2,24.1,21.3,4,7,10.1,65,14,2022,89,0
31.2,24.6,19.6,5,7,11.9,65,12,2022,88,0
31.3,24.3,26.7,6,7,25.7,63,13,2022,85,0
31.4,25.2,5.0,0,7,13.0,61,12,2022,85,2
31.1,24.7,1.4,1,7,18.8,51,8,2022,79,1
30.7,25.0,0.2,2,7,15.3,51,8,2022,79,1
31.0,25.1,6.7,3,7,10.7,63,9,2022,85,2
30.3,24.9,21.1,4,7,7.2,63,10,2022,91,0
30.3,24.7,7.5,5,7,9.5,63,12,2022,88,2
29.3,24.3,22.6,6,7,9.2,65,12,2022,90,0
29.7,24.0,32.5,0,7,10.5,65,11,2022,88,0
31.2,24.1,19.5,1,7,11.5,65,7,2022,84,0
32.0,24.4,0.6,2,7,7.0,51,3,2022,82,1
31.0,24.8,8.4,3,7,11.0,63,12,2022,87,0
30.9,24.6,9.3,4,7,10.3,63,8,2022,88,0
32.7,25.5,2.6,5,7,9.3,61,6,2022,85,1
32.3,24.9,4.9,6,7,11.2,61,13,2022,86,2
32.3,25.7,2.5,0,8,11.5,61,11,2022,85,1
32.2,25.0,10.9,1,8,7.4,63,7,2022,87,0
31.5,25.1,5.9,2,8,14.8,63,17,2022,85,2
32.9,25.2,0.3,3,8,13.2,51,5,2022,78,1
32.7,25.1,1.2,4,8,9.0,53,13,2022,78,1
31.6,25.4,5.3,5,8,8.4,61,8,2022,86,2
30.6,24.7,26.1,6,8,15.5,65,7,2022,89,0
31.4,25.0,17.9,0,8,16.3,63,1,2022,87,0
28.5,25.4,20.8,1,8,14.8,63,9,2022,89,0
27.9,24.4,50.6,2,8,20.6,65,10,2022,90,4
28.3,24.0,17.0,3,8,17.6,63,7,2022,90,0
29.2,24.1,26.6,4,8,16.3,63,4,2022,92,0
27.7,24.4,23.9,5,8,17.1,63,4,2022,91,0
26.9,24.6,60.5,6,8,16.9,65,10,2022,94,4
