SLNO,time,temp_max_C,temp_min_C,temp_mean_C,precip_mm,wind_speed_max_m_s,weather_code,heavy_rain_flag,thunderstorm_flag,Complaint_Count
0,10-06-2022,41,30.3,34.6,0.1,16.6,51,0,0,10
1,11-06-2022,41,30.8,34.8,0.2,25.3,51,0,0,12
2,12-06-2022,39.8,29.5,34.4,0,16.7,3,0,0,5
3,13-06-2022,40.2,29.5,34.7,0,13.3,3,0,0,15
4,14-06-2022,39.2,30,32.9,8.6,19,63,0,0,16
5,15-06-2022,35.6,26.1,30.7,6,17.4,63,0,0,15
6,16-06-2022,36.8,26.5,30.4,0.6,15.3,53,0,0,11
7,17-06-2022,34.3,25.5,28.6,23.2,15.2,63,0,0,13
8,18-06-2022,31.5,25.4,27.6,11.2,15,63,0,0,26
9,19-06-2022,32.7,25.2,27.3,14.8,20.6,63,0,0,19
10,20-06-2022,32,25.2,27.2,11.7,16.2,63,0,0,20
11,21-06-2022,32,24.3,27.6,16,10.4,65,0,0,14
12,22-06-2022,32.5,24.9,28.1,9.9,12.9,65,0,0,11
13,23-06-2022,31.7,25.8,28.2,9,11.9,63,0,0,7
14,24-06-2022,30.1,24.2,27.2,19.6,18.9,63,0,0,12
15,25-06-2022,30.9,24.1,26.7,14.5,10.7,63,0,0,8
16,26-06-2022,32.2,24,28.1,4.1,13.1,61,0,0,11
17,27-06-2022,33,25.6,29.2,0.5,12,51,0,0,9
18,28-06-2022,33.5,25.7,29.4,1.7,12.1,53,0,0,5
19,29-06-2022,33.7,25.9,28.9,3.9,13.8,61,0,0,5
20,30-06-2022,31.2,25.3,27.9,9.1,10.5,63,0,0,5
21,01-07-2022,31,24.4,27.9,14,10.3,63,0,0,7
22,02-07-2022,32.1,24.8,28,16,9.9,63,0,0,7
23,03-07-2022,29.6,24.4,26.4,25.7,10.7,65,0,0,6
24,04-07-2022,30.3,24.2,26.6,20.9,9.4,63,0,0,9
25,05-07-2022,30.2,24.9,27,21.9,7.4,63,0,0,9
26,06-07-2022,31.8,24.6,27,28.1,10.7,65,0,0,11
27,07-07-2022,32.3,24.9,27.8,9.1,14,63,0,0,5
28,08-07-2022,32.3,24.8,27.8,12.2,16.2,63,0,0,3
29,09-07-2022,31,25,27.6,7.9,18.9,63,0,0,9
30,10-07-2022,32.2,25,27.8,3.2,13,63,0,0,16
31,11-07-2022,31.7,25.1,27.8,5.7,12.2,63,0,0,6
32,12-07-2022,30.4,25,27.5,16.6,15.6,63,0,0,11
33,13-07-2022,31.2,24.9,27.3,29.5,14.9,63,0,0,11
34,14-07-2022,28.4,24.4,25.9,54.5,14.4,65,1,0,12
35,15-07-2022,30.2,24.1,26.5,21.3,10.1,65,0,0,14
36,16-07-2022,31.2,24.6,26.7,19.6,11.9,65,0,0,12
37,17-07-2022,31.3,24.3,27.4,26.7,25.7,63,0,0,13
38,18-07-2022,31.4,25.2,27.4,5,13,61,0,0,12
39,19-07-2022,31.1,24.7,27.5,1.4,18.8,51,0,0,8
40,20-07-2022,30.7,25,27.9,0.2,15.3,51,0,0,8
41,21-07-2022,31,25.1,27.4,6.7,10.7,63,0,0,9
42,22-07-2022,30.3,24.9,26.5,21.1,7.2,63,0,0,10
43,23-07-2022,30.3,24.7,26.7,7.5,9.5,63,0,0,12
44,24-07-2022,29.3,24.3,26.4,22.6,9.2,65,0,0,12
45,25-07-2022,29.7,24,26.4,32.5,10.5,65,0,0,11
46,26-07-2022,31.2,24.1,27.4,19.5,11.5,65,0,0,7
47,27-07-2022,32,24.4,28,0.6,7,51,0,0,3
48,28-07-2022,31,24.8,27.5,8.4,11,63,0,0,12
49,29-07-2022,30.9,24.6,27.7,9.3,10.3,63,0,0,8
50,30-07-2022,32.7,25.5,28.3,2.6,9.3,61,0,0,6
51,31-07-2022,32.3,24.9,28.4,4.9,11.2,61,0,0,13
52,01-08-2022,32.3,25.7,28.5,2.5,11.5,61,0,0,11
53,02-08-2022,32.2,25,28.1,10.9,7.4,63,0,0,7
54,03-08-2022,31.5,25.1,28,5.9,14.8,63,0,0,17
55,04-08-2022,32.9,25.2,28.7,0.3,13.2,51,0,0,5
56,05-08-2022,32.7,25.1,29,1.2,9,53,0,0,13
57,06-08-2022,31.6,25.4,27.8,5.3,8.4,61,0,0,8
58,07-08-2022,30.6,24.7,26.8,26.1,15.5,65,0,0,7
59,08-08-2022,31.4,25,27.1,17.9,16.3,63,0,0,1
60,09-08-2022,28.5,25.4,26.5,20.8,14.8,63,0,0,9
61,10-08-2022,27.9,24.4,25.7,50.6,20.6,65,1,0,10
62,11-08-2022,28.3,24,25.5,17,17.6,63,0,0,7
63,12-08-2022,29.2,24.1,25.8,26.6,16.3,63,0,0,4
64,13-08-2022,27.7,24.4,25.7,23.9,17.1,63,0,0,4
65,14-08-2022,26.9,24.6,25.4,60.5,16.9,65,1,0,10
66,15-08-2022,27.9,24,25.4,51.2,23.8,63,1,0,13
