,time,temp_max_C,temp_min_C,temp_mean_C,precip_mm,wind_speed_max_m_s,weather_code,heavy_rain_flag,thunderstorm_flag,Complaint_Count
0,2022-06-10,41.0,30.3,34.6,0.1,16.6,51,0,0,10.0
1,2022-06-11,41.0,30.8,34.8,0.2,25.3,51,0,0,12.0
2,2022-06-12,39.8,29.5,34.4,0.0,16.7,3,0,0,5.0
3,2022-06-13,40.2,29.5,34.7,0.0,13.3,3,0,0,15.0
4,2022-06-14,39.2,30.0,32.9,8.6,19.0,63,0,0,16.0
5,2022-06-15,35.6,26.1,30.7,6.0,17.4,63,0,0,15.0
6,2022-06-16,36.8,26.5,30.4,0.6,15.3,53,0,0,11.0
7,2022-06-17,34.3,25.5,28.6,23.2,15.2,63,0,0,13.0
8,2022-06-18,31.5,25.4,27.6,11.2,15.0,63,0,0,26.0
9,2022-06-19,32.7,25.2,27.3,14.8,20.6,63,0,0,19.0
10,2022-06-20,32.0,25.2,27.2,11.7,16.2,63,0,0,20.0
11,2022-06-21,32.0,24.3,27.6,16.0,10.4,65,0,0,14.0
12,2022-06-22,32.5,24.9,28.1,9.9,12.9,65,0,0,11.0
13,2022-06-23,31.7,25.8,28.2,9.0,11.9,63,0,0,7.0
14,2022-06-24,30.1,24.2,27.2,19.6,18.9,63,0,0,12.0
15,2022-06-25,30.9,24.1,26.7,14.5,10.7,63,0,0,8.0
16,2022-06-26,32.2,24.0,28.1,4.1,13.1,61,0,0,11.0
17,2022-06-27,33.0,25.6,29.2,0.5,12.0,51,0,0,9.0
18,2022-06-28,33.5,25.7,29.4,1.7,12.1,53,0,0,5.0
19,2022-06-29,33.7,25.9,28.9,3.9,13.8,61,0,0,5.0
20,2022-06-30,31.2,25.3,27.9,9.1,10.5,63,0,0,5.0
21,2022-07-01,31.0,24.4,27.9,14.0,10.3,63,0,0,7.0
22,2022-07-02,32.1,24.8,28.0,16.0,9.9,63,0,0,7.0
23,2022-07-03,29.6,24.4,26.4,25.7,10.7,65,0,0,6.0
24,2022-07-04,30.3,24.2,26.6,20.9,9.4,63,0,0,9.0
25,2022-07-05,30.2,24.9,27.0,21.9,7.4,63,0,0,9.0
26,2022-07-06,31.8,24.6,27.0,28.1,10.7,65,0,0,11.0
27,2022-07-07,32.3,24.9,27.8,9.1,14.0,63,0,0,5.0
28,2022-07-08,32.3,24.8,27.8,12.2,16.2,63,0,0,3.0
29,2022-07-09,31.0,25.0,27.6,7.9,18.9,63,0,0,9.0
30,2022-07-10,32.2,25.0,27.8,3.2,13.0,63,0,0,16.0
31,2022-07-11,31.7,25.1,27.8,5.7,12.2,63,0,0,6.0
32,2022-07-12,30.4,25.0,27.5,16.6,15.6,63,0,0,11.0
33,2022-07-13,31.2,24.9,27.3,29.5,14.9,63,0,0,11.0
34,2022-07-14,28.4,24.4,25.9,54.5,14.4,65,1,0,12.0
35,2022-07-15,30.2,24.1,26.5,21.3,10.1,65,0,0,14.0
36,2022-07-16,31.2,24.6,26.7,19.6,11.9,65,0,0,12.0
37,2022-07-17,31.3,24.3,27.4,26.7,25.7,63,0,0,13.0
38,2022-07-18,31.4,25.2,27.4,5.0,13.0,61,0,0,12.0
39,2022-07-19,31.1,24.7,27.5,1.4,18.8,51,0,0,8.0
40,2022-07-20,30.7,25.0,27.9,0.2,15.3,51,0,0,8.0
41,2022-07-21,31.0,25.1,27.4,6.7,10.7,63,0,0,9.0
42,2022-07-22,30.3,24.9,26.5,21.1,7.2,63,0,0,10.0
43,2022-07-23,30.3,24.7,26.7,7.5,9.5,63,0,0,12.0
44,2022-07-24,29.3,24.3,26.4,22.6,9.2,65,0,0,12.0
45,2022-07-25,29.7,24.0,26.4,32.5,10.5,65,0,0,11.0
46,2022-07-26,31.2,24.1,27.4,19.5,11.5,65,0,0,7.0
47,2022-07-27,32.0,24.4,28.0,0.6,7.0,51,0,0,3.0
48,2022-07-28,31.0,24.8,27.5,8.4,11.0,63,0,0,12.0
49,2022-07-29,30.9,24.6,27.7,9.3,10.3,63,0,0,8.0
50,2022-07-30,32.7,25.5,28.3,2.6,9.3,61,0,0,6.0
51,2022-07-31,32.3,24.9,28.4,4.9,11.2,61,0,0,13.0
52,2022-08-01,32.3,25.7,28.5,2.5,11.5,61,0,0,11.0
53,2022-08-02,32.2,25.0,28.1,10.9,7.4,63,0,0,7.0
54,2022-08-03,31.5,25.1,28.0,5.9,14.8,63,0,0,17.0
55,2022-08-04,32.9,25.2,28.7,0.3,13.2,51,0,0,5.0
56,2022-08-05,32.7,25.1,29.0,1.2,9.0,53,0,0,13.0
57,2022-08-06,31.6,25.4,27.8,5.3,8.4,61,0,0,8.0
58,2022-08-07,30.6,24.7,26.8,26.1,15.5,65,0,0,7.0
59,2022-08-08,31.4,25.0,27.1,17.9,16.3,63,0,0,1.0
60,2022-08-09,28.5,25.4,26.5,20.8,14.8,63,0,0,9.0
61,2022-08-10,27.9,24.4,25.7,50.6,20.6,65,1,0,10.0
62,2022-08-11,28.3,24.0,25.5,17.0,17.6,63,0,0,7.0
63,2022-08-12,29.2,24.1,25.8,26.6,16.3,63,0,0,4.0
64,2022-08-13,27.7,24.4,25.7,23.9,17.1,63,0,0,4.0
65,2022-08-14,26.9,24.6,25.4,60.5,16.9,65,1,0,10.0
66,2022-08-15,27.9,24.0,25.4,51.2,23.8,63,1,0,13.0
67,2022-08-16,31.5,23.8,27.2,0.1,13.4,51,0,0,5.0
68,2022-08-17,32.2,24.5,28.0,1.1,11.6,53,0,0,2.0
69,2022-08-18,31.7,25.2,27.5,12.5,15.8,63,0,0,6.0
70,2022-08-19,28.7,24.6,26.1,49.7,12.4,65,0,0,11.0
71,2022-08-20,27.0,24.4,25.4,41.8,20.8,63,0,0,14.0
72,2022-08-21,30.1,24.4,26.6,11.1,19.2,63,0,0,7.0
73,2022-08-22,31.9,24.5,27.5,4.1,14.6,63,0,0,8.0
74,2022-08-23,32.1,24.1,28.0,0.4,8.4,51,0,0,9.0
75,2022-08-24,29.9,24.3,26.6,14.6,9.4,65,0,0,5.0
76,2022-08-25,30.6,24.3,26.8,3.6,9.7,61,0,0,7.0
77,2022-08-26,32.1,24.3,28.0,0.6,7.9,51,0,0,3.0
78,2022-08-27,32.7,25.0,28.2,1.5,9.1,53,0,0,8.0
79,2022-08-28,30.4,24.7,27.3,5.4,7.2,63,0,0,8.0
80,2022-08-29,32.6,24.4,28.2,1.7,10.8,55,0,0,13.0
81,2022-08-30,33.7,25.4,29.1,0.0,7.1,3,0,0,13.0
82,2022-08-31,32.4,25.5,28.5,5.4,12.2,61,0,0,7.0
