Day,Mean_Demand,Min_Demand,Max_Demand,Total_Demand,Std_Demand
2024-12-31,3799.01,2243.55,4786.45,87377.27,826.53
2025-01-01,3620.97,1963.79,4621.74,86903.27,874.44
2025-01-02,3438.91,2003.84,4354.48,82533.74,781.86
2025-01-03,3173.85,1693.07,4293.81,76172.5,795.34
2025-01-04,3540.04,1820.12,4268.18,84960.93,852.66
2025-01-05,3333.72,1868.45,4248.31,80009.34,811.15
2025-01-06,3190.56,1757.46,4295.19,76573.38,758.97
2025-01-07,3575.96,1832.15,4275.65,85822.98,864.23
2025-01-08,3329.98,1905.98,4256.44,79919.48,798.65
2025-01-09,3180.66,1751.1,4313.8,76335.75,754.93
2025-01-10,3570.99,1836.58,4266.89,85703.8,862.01
2025-01-11,3302.71,1924.98,4250.38,79265.02,770.27
2025-01-12,3193.06,1768.15,4283.81,76633.54,775.32
2025-01-13,3544.91,1821.62,4267.11,85077.74,854.17
2025-01-14,3293.89,1875.52,4240.47,79053.46,786.05
2025-01-15,3242.93,1754.74,4296.5,77830.26,803.36
2025-01-16,3516.86,1836.05,4270.35,84404.73,843.06
2025-01-17,3294.41,1923.16,4254.98,79065.74,767.64
2025-01-18,3264.67,1765.53,4287.41,78351.97,826.94
2025-01-19,3446.31,1823.33,4268.83,82711.44,845.21
2025-01-20,3306.68,1880.82,4243.17,79360.34,781.45
2025-01-21,3322.69,1753.76,4303.37,79744.48,835.69
2025-01-22,3395.27,1836.29,4269.29,81486.49,854.78
2025-01-23,3289.61,1932.0,4255.55,78950.56,762.27
2025-01-24,3377.95,1805.99,4263.16,81070.9,819.75
2025-01-25,3389.74,1812.54,4271.14,81353.68,865.56
2025-01-26,3279.13,1861.22,4239.44,78699.21,762.27
2025-01-27,3398.02,1767.45,4272.74,81552.38,836.06
2025-01-28,3415.25,1822.27,4276.76,81966.08,876.21
2025-01-29,3274.62,1878.79,4133.05,78590.96,750.07
2025-01-30,2584.09,2584.09,2584.09,2584.09,
